Code;Désignation courte;Famille;Prix de Vte HT;Prix de Vte TTC;Stock théor.;Stock réel;Stock disponible;Quantité en cde client;Quantité en cde fournisseur
ART0561;Hébergement licence Office 2021;LOGICIEL;6.99;8.39;-4469;-4368;-4381;101;
ART0591;Hébergement licence TSE;LOGICIEL;9;10.8;-3689;-3291;-3317;399;1
ART2072;Antivirus PSB Premium -  pc 3 ans;LOGICIEL;99;118.8;-3551;-3132;-3318;419;
ART0804;Office 2024 home&business;LOGICIEL;259.89999999999998;311.88;-1175;-1093;-1137;90;8
ART2364;Licence d'utilisation logiciel 3cx;LOGICIEL;5.4;6.48;-747;-132;-150;615;
ART2882;Microsoft 365 gouvernance;LOGICIEL;1.99;2.39;-735;-490;-599;245;
ART0099;Abonnement licence VPN;LOGICIEL;9;10.8;-603;-600;-601;3;
ART0350;Microsoft 365 business Standard;LOGICIEL;15.9;19.079999999999998;-603;-289;-315;314;
ART0800;Microsoft Exchange server 2019 CAL;LOGICIEL;49;58.8;-388;-217;-217;171;
ART2304;Targus sacoche 15.6;ACCESSOIRES PC;29.9;35.880000000000003;-361;-333;-365;28;
ART0129;Mcl Samar, câble RJ45 1M;MATERIELS RESEAU;2.95;3.54;-287;-347;-331;20;80
ART1186;Licence Microsoft TSE;LOGICIEL;129.9;155.88;-266;-240;-240;26;
ART2190;Office Teams visio;LOGICIEL;4.8;5.76;-258;-220;-223;38;
ART0173;PF sense appliance;MATERIELS RESEAU;389;466.8;-250;-228;-234;22;
ART0200;Licence CAL Windows serveur 2019;LOGICIEL;245;294;-241;-228;-228;57;44
ART2033;Antispam Mailinblack MIB protect;LOGICIEL;4.99;5.99;-213;-213;-213;;
ART0670;Câble_à titre indicatif;MATERIELS RESEAU;;;-212;-184;-190;28;
ART2544;Passbolt : abonnement cloud;HEBERGEMENT;4.99;5.99;-187;-57;-161;130;
ART0716;Microsoft 365 business Premium;LOGICIEL;20.6;24.72;-178;-111;-113;67;
ART1862;V7, câble RJ45 50cm blanc;MATERIELS RESEAU;2.75;3.3;-176;-178;-178;18;20
ART2971;Google - workspace business std;LOGICIEL;13.6;16.32;-174;-74;-158;100;
ART1395;Microsoft  server 2019 CAL;LOGICIEL;49;58.8;-161;-136;-136;25;
ART1600;Microsoft 365 Teams;LOGICIEL;4.2;5.04;-160.1;-133.1;-133.1;27;
ART0219;Certificat ssl-domaine Unique-1 an;LOGICIEL;99;118.8;-154.5;-146.5;-150.5;8;
ART2201;Antivirus Standard -  serveur;LOGICIEL;199;238.8;-154;-135;-136;19;
ART1901;"Ecran Acer CB242Y 23,8""";ECRANS;179;214.8;-154;-78;-154;77;1
ART0457;Antivirus Vade secure VRC - 3 ans;LOGICIEL;;;-152;-128;-152;24;
ART1559;Mémoire vive 4Go DDR4,DIMM,2666 mhz;MEMOIRES VIVES;39;46.8;-148;-142;-143;26;20
ART1371;Microsoft 365 Exchange - plan 1;LOGICIEL;7.99;9.59;-140;-73;-104;67;
ART1714;Yealink téléphone filaire T53;TELEPHONE;149;178.8;-137;-130;-130;22;15
ART0430;Yealink téléphone fialire SIP-T41S;TELEPHONE;249;298.8;-130;-142;-140;10;22
ART1232;Antivirus Eset endpoint protection;LOGICIEL;59.9;71.88;-128;-127;-127;1;
ART2976;Antivirus Eset endpoint protect ENT;LOGICIEL;20.9;25.08;-113;-109;-111;4;
ART1294;Extension garantie 3 ans Pfsense;GARANTIE;89;106.8;-113;-105;-107;8;
ART1185;Office 2019 open - TSE;LOGICIEL;399;478.8;-111;-86;-86;25;
